Token,AERO,NFLXB,KII,USDC,WARD,ICNT,CAKE,PCS-V3-POS,ETH,SUMR,AERO-CL-POS,WETH,SERV,AERO-CL-POS,AERO-CL-POS,KAITO,USAS,DEGEN,IRWT,EITHER,TRC,WWW.BADRP.CO ✅,TOAD,DOS,KELLYCLAUDE,GOOK,AURORA,WSTETH,USAS,EṬH,E឵Τ឵H,VELVET,HYPE,RAVE,TGBP,FRXUSD,ZORA,UNICLAW
AERO-CL-POS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AERO-CL-POS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAITO,0.0 | +174.63512,-,-,-,-,-,-,-,-0.62053 | +0.0,-,-,-0.01766 | +0.03106,-,-,-,-1970.79618 | +1973.93528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +200.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DEGEN,0.0 | +46.85289,-,-,-,-,-,-,-,0.0 | +0.10279,-,-,0.0 | +0.21584,-,-,-,-,-,-157073.62676 | +1287278.85421,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IRWT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EITHER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +400.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TRC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WWW.BADRP.CO ✅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +2886.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOAD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +99.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DOS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KELLYCLAUDE,0.0 | +34.93588,-,-,-144.90489 | +70.85591,-,-,-,-,-,-,-,-0.007 | +0.0,-,-,-,-,-,-,-,-,-,-,-,-,-5080509.38611 | +5080509.36073,-,-,-,-,-,-,-,-,-,-,-,-,-
GOOK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +99.0,-,-,-,-,-,-,-,-,-,-,-,-
AURORA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +464525738.73,-,-,-,-,-,-,-,-,-,-,-
WSTETH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +50.0,-,-,-,-,-,-,-,-,-
EṬH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +0.0,-,-,-,-,-,-,-,-
E឵Τ឵H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.0 | +0.0,-,-,-,-,-,-,-
VELVET,0.0 | +61.50936,-,-,-500.0 | +0.0,-,-,-,-,-0.48021 | +0.0,-,-,0.0 | +7e-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1126.52734 | +1152.6841,-,-,-,-,-,-
HYPE,0.0 | +262.60763,-,-,-,-,-,-,-,-,-,-,-0.01566 | +0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.48183 | +0.0,-,-,-,-,-
RAVE,-,-,-,-871.20256 | +0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-645.7502 | +630.45443,-,-,-,-
TGBP,0.0 | +3.40023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +4e-05,0.0 | +13.95828,-,-
FRXUSD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZORA,0.0 | +88.89034,-,-,-,-,-,-,-,-0.53785 | +0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-806452.56082 | +806452.56082,-
UNICLAW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0 | +15.0
